.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR11917187_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917188_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917188_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917189_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917189_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917190_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917190_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917191_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917191_2	1	0.25	1	0.25	0.25	1	0.5	0.5	0.25	1
SRR11917192_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917192_2	1	0.25	0.5	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917193_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917193_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917194_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917194_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917195_1	1	1	1	0.25	0.25	1	0.5	0.5	0.25	1
SRR11917195_2	1	0.25	1	0.25	0.25	1	0.5	1	0.25	1
SRR11917196_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917196_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917197_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917197_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917198_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917198_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917199_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917199_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917200_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917200_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917201_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917201_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917202_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917202_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917203_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917203_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917204_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917204_2	1	0.25	1	0.25	0.25	1	0.5	1	0.25	1
SRR11917205_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917205_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917206_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917206_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917207_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917207_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917208_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917208_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917209_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917209_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917210_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917210_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917211_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
