names,Assay Type,AvgSpotLen,Bases,BioSample,Bytes,Experiment,isolate,create_date,sample_name,block,
SRR11917187,AMPLICON,570,2105869,SAMN15057882,1229883,SRX8463679,455reXM2017,2020-06-03T12:09:00Z,1119,1,
SRR11917188,AMPLICON,585,14200122,SAMN15057881,9868322,SRX8463678,875apJO2017,2020-06-03T12:09:00Z,1117,9,
SRR11917189,AMPLICON,593,7978316,SAMN15057880,5703805,SRX8463677,561cjTW2017,2020-06-03T12:09:00Z,1117,6,
SRR11917190,AMPLICON,586,13062241,SAMN15057879,9006287,SRX8463676,108boPC2017,2020-06-03T12:09:00Z,1117,5,
SRR11917191,AMPLICON,575,98461,SAMN15057852,138162,SRX8463675,508ydGG2017,2020-06-03T12:09:00Z,1105,8,
SRR11917192,AMPLICON,593,6359179,SAMN15057878,4535038,SRX8463674,717xnUJ2017,2020-06-03T12:09:00Z,1117,3,
SRR11917193,AMPLICON,594,4493343,SAMN15057877,3169590,SRX8463673,879qoUW2017,2020-06-03T12:09:00Z,1117,2,
SRR11917194,AMPLICON,594,14703441,SAMN15057876,10392505,SRX8463672,440npCS2017,2020-06-03T12:09:00Z,1117,6,
SRR11917195,AMPLICON,585,82489,SAMN15057875,137310,SRX8463671,379peMC2017,2020-06-03T12:09:00Z,1117,7,
SRR11917196,AMPLICON,572,9930797,SAMN15058104,7088548,SRX8463670,163ykNC2017,2020-06-03T12:09:00Z,1355,9,
SRR11917197,AMPLICON,581,8360250,SAMN15058103,5940057,SRX8463669,606yiXD2017,2020-06-03T12:09:00Z,1355,6,
SRR11917198,AMPLICON,577,13397446,SAMN15058102,9443278,SRX8463668,931nzBJ2017,2020-06-03T12:09:00Z,1355,5,
SRR11917199,AMPLICON,594,4991289,SAMN15058101,3591163,SRX8463667,890aeNQ2017,2020-06-03T12:09:00Z,1355,3,
SRR11917200,AMPLICON,594,9266156,SAMN15058100,6581012,SRX8463666,58yfLM2017,2020-06-03T12:09:00Z,1355,2,
